bodyId_pre,bodyId_post,weight
556329,815814,12
556329,812158,12
12781,816910,11
556329,909273,11
12781,13399,11
12781,56710,11
556329,909562,11
12781,518563,11
556329,814715,11
12781,813622,11
556329,810382,11
12781,808432,11
12781,815014,11
12781,814476,11
556329,813387,11
12781,522840,11
556329,814823,11
12781,813082,11
12781,814112,11
556329,817422,11
12781,325391,11
12781,911325,11
12781,910459,11
12781,914493,11
556329,26144,11
12781,836986,11
12781,902447,11
556329,441179,11
556329,581518,11
556329,820215,11
556329,812913,11
12781,26144,11
556329,817307,11
556329,817358,11
12781,800337,11
12781,812383,11
556329,815030,11
12781,818335,11
556329,218722,11
12781,810843,11
12781,811123,11
12781,810771,11
12781,812043,11
556329,811275,11
556329,811217,11
556329,810050,11
556329,807995,11
556329,810235,11
556329,810171,11
12781,31055,11
556329,816834,11
556329,815675,11
12781,809859,11
556329,909131,11
556329,908714,11
556329,912333,11
12781,809179,11
556329,912626,11
556329,912824,11
556329,912258,10
556329,912096,10
12781,803776,10
12781,816035,10
556329,515725,10
556329,903437,10
12781,29161,10
556329,37876,10
556329,210111,10
556329,820297,10
12781,808211,10
12781,816856,10
556329,910704,10
12781,816169,10
556329,904062,10
556329,909129,10
12781,815972,10
556329,818722,10
556329,523539,10
12781,38850,10
556329,812860,10
556329,813756,10
556329,813924,10
12781,47659,10
556329,814674,10
556329,814275,10
12781,213138,10
556329,815263,10
556329,815287,10
556329,815289,10
556329,936578,10
12781,823637,10
12781,158715,10
12781,812253,10
556329,814777,10
556329,803461,10
556329,809382,10
12781,227896,10
12781,813969,10
12781,813984,10
556329,812301,10
556329,805418,10
12781,815145,10
12781,815967,10
12781,815354,10
556329,803703,10
556329,801602,10
12781,816048,9
12781,814057,9
12781,814193,9
12781,813933,9
12781,815176,9
12781,816075,9
556329,513286,9
556329,50566,9
12781,279391,9
12781,803303,9
12781,817354,9
12781,905558,9
12781,805050,9
12781,805196,9
12781,324453,9
556329,911856,9
556329,911726,9
12781,903773,9
12781,910127,9
12781,817361,9
556329,31055,9
12781,816577,9
556329,33990,9
12781,816377,9
556329,17362,9
556329,12219,9
12781,911242,9
556329,908756,9
12781,914843,9
12781,914347,9
12781,817180,9
556329,904024,9
556329,812398,9
12781,908783,9
12781,909243,9
12781,817972,9
12781,818474,9
556329,815077,9
556329,814300,9
556329,815983,9
556329,814129,9
12781,820570,9
12781,818025,9
12781,812857,9
12781,813558,9
12781,812055,9
12781,811586,9
556329,816403,9
12781,221715,9
556329,814044,9
12781,812158,9
556329,814577,9
556329,816519,9
556329,817895,9
556329,804863,9
556329,817908,9
12781,814666,9
556329,807247,9
12781,815381,9
12781,815368,9
556329,817455,9
556329,809097,9
12781,809474,9
556329,535510,9
556329,550223,9
556329,818701,9
12781,808668,9
556329,818165,9
556329,811090,9
556329,811359,9
556329,810040,9
556329,814745,9
556329,811619,9
12781,229891,9
12781,814579,9
556329,817200,9
556329,815950,9
12781,10592,8
12781,902629,8
12781,903641,8
12781,804945,8
556329,10706,8
556329,15333,8
12781,804233,8
12781,817004,8
12781,816937,8
12781,932790,8
556329,911242,8
12781,16510,8
12781,817018,8
12781,817073,8
556329,905382,8
12781,806641,8
12781,804520,8
556329,907191,8
556329,906620,8
556329,13135,8
12781,904272,8
556329,932890,8
12781,908650,8
556329,520134,8
556329,520133,8
556329,515723,8
12781,816106,8
556329,821904,8
12781,808056,8
556329,108358,8
556329,98212,8
12781,816643,8
12781,816704,8
556329,35203,8
556329,819531,8
556329,907824,8
12781,802314,8
556329,816752,8
556329,816691,8
556329,801833,8
556329,800580,8
12781,815635,8
556329,818677,8
556329,818348,8
12781,811379,8
556329,816829,8
556329,816838,8
12781,810456,8
556329,816938,8
556329,809971,8
556329,817064,8
556329,809420,8
556329,525378,8
12781,815538,8
556329,807739,8
556329,812387,8
556329,816663,8
556329,814701,8
556329,814443,8
12781,189997,8
12781,813303,8
12781,811588,8
556329,814017,8
12781,210253,8
12781,813729,8
556329,816410,8
556329,813176,8
12781,813510,8
12781,42467,8
556329,813708,8
12781,812226,8
556329,815144,8
12781,556721,8
556329,814796,8
556329,814801,8
556329,815837,8
12781,812227,8
12781,812244,8
556329,815832,8
556329,814793,8
12781,84707,8
12781,81912,8
12781,61729,8
12781,819793,8
12781,820319,8
12781,818118,8
556329,936568,8
12781,10377,7
12781,11797,7
12781,10482,7
556329,925148,7
12781,817692,7
12781,908845,7
12781,908708,7
12781,908367,7
556329,815482,7
12781,558778,7
12781,184643,7
12781,127773554,7
556329,906654,7
12781,911814,7
556329,909752,7
556329,908136,7
556329,814736,7
12781,109201,7
12781,812018,7
12781,812140,7
556329,814878,7
556329,815799,7
556329,815579,7
556329,815665,7
12781,813919,7
556329,813513,7
556329,813504,7
556329,905748,7
12781,806034,7
556329,814173,7
556329,814196,7
556329,819434,7
12781,248702,7
12781,245627,7
12781,814862,7
556329,817631,7
12781,815026,7
556329,346302680,7
12781,815917,7
556329,818676,7
556329,801960,7
12781,832136,7
12781,823741,7
556329,935828,7
556329,817613,7
556329,807911,7
556329,807495,7
12781,814896,7
12781,391478,7
556329,512059,7
556329,818346,7
556329,818313,7
556329,818926,7
556329,818934,7
12781,816266,7
12781,242623,7
556329,809880,7
556329,811005,7
12781,24532,7
12781,814331,7
556329,817313,7
12781,810458,7
556329,820030,7
12781,811577,7
556329,35619,7
556329,818872,7
556329,816622,7
12781,811286,7
556329,811770,7
12781,816426,7
12781,816808,7
556329,823182,7
556329,812758,7
12781,227275,7
12781,228237,7
556329,811479,7
12781,811001,7
12781,811541,7
556329,812640,7
12781,806687,7
12781,221788,7
12781,816735,7
556329,12170,7
556329,12188,7
556329,11352,7
556329,907350,7
12781,807482,7
556329,814930,6
12781,17158,6
12781,813581,6
12781,813659,6
556329,905111,6
556329,813531,6
12781,813837,6
12781,219374,6
12781,215032,6
12781,813789,6
12781,214767,6
12781,914268,6
12781,913178,6
12781,914449,6
12781,954981,6
12781,293891,6
556329,813145,6
12781,817219,6
12781,176912,6
12781,517005,6
556329,813570,6
12781,801379,6
556329,815973,6
556329,814520,6
556329,816123,6
12781,910460,6
12781,812994,6
556329,814668,6
556329,908637,6
12781,15751,6
556329,908650,6
556329,909740,6
12781,817215,6
12781,819946,6
556329,815710,6
556329,815796,6
556329,815816,6
12781,812689,6
